Nombre, URL, Error
Zapier, None, INVALID_LOGO_AS_WEB
Youz, None, INVALID_LOGO_AS_WEB
Sora, None, INVALID_LOGO_AS_WEB
Cuanto, None, INVALID_LOGO_AS_WEB
Weel, None, INVALID_LOGO_AS_WEB
Pgalo, None, INVALID_LOGO_AS_WEB
Olist, None, INVALID_LOGO_AS_WEB
Mento, None, INVALID_LOGO_AS_WEB
Ave, None, INVALID_LOGO_AS_WEB
Beloz By Amiloz, None, INVALID_LOGO_AS_WEB
Credmex, None, INVALID_LOGO_AS_WEB
Tuprimerlaburo, None, INVALID_LOGO_AS_WEB
Tuya, None, INVALID_LOGO_AS_WEB
One2Credit, None, INVALID_LOGO_AS_WEB
Prestamito Dinero Rapidito, None, INVALID_LOGO_AS_WEB
Yavo, None, INVALID_LOGO_AS_WEB
Open Finance, None, INVALID_LOGO_AS_WEB
Mercado Credito, None, INVALID_LOGO_AS_WEB
Zizoo, None, INVALID_LOGO_AS_WEB
Pago Fcil, None, INVALID_LOGO_AS_WEB
Qenta, None, INVALID_LOGO_AS_WEB
Regtech, None, INVALID_LOGO_AS_WEB
The Card, None, INVALID_LOGO_AS_WEB
Spei, None, INVALID_LOGO_AS_WEB
Menta, None, INVALID_LOGO_AS_WEB
Totvs, None, INVALID_LOGO_AS_WEB
Yuyu, None, INVALID_LOGO_AS_WEB
Zinpago, None, INVALID_LOGO_AS_WEB
Payphone, None, INVALID_LOGO_AS_WEB
Insurtech, None, INVALID_LOGO_AS_WEB
Sureti, None, INVALID_LOGO_AS_WEB
Credito 365, None, INVALID_LOGO_AS_WEB
Stonex Colombia Sa, None, INVALID_LOGO_AS_WEB
Gocredit, None, INVALID_LOGO_AS_WEB
Generams, None, INVALID_LOGO_AS_WEB
Yukka, None, INVALID_LOGO_AS_WEB
Cobre Fcil, None, INVALID_LOGO_AS_WEB
Clinng Payments, None, INVALID_LOGO_AS_WEB
Blooms Blu Fintech, None, INVALID_LOGO_AS_WEB
Conta Listo, None, INVALID_LOGO_AS_WEB
Cred Mex, None, INVALID_LOGO_AS_WEB
Credilike Me, None, INVALID_LOGO_AS_WEB
Volaris, None, INVALID_LOGO_AS_WEB
Mend, None, INVALID_LOGO_AS_WEB
Mega, None, INVALID_LOGO_AS_WEB
Finauta, None, INVALID_LOGO_AS_WEB
Teca, None, INVALID_LOGO_AS_WEB
Zulu, None, INVALID_LOGO_AS_WEB
Curadeuda, None, INVALID_LOGO_AS_WEB
Queseguroco, None, INVALID_LOGO_AS_WEB
Terapay, None, INVALID_LOGO_AS_WEB
Dale, None, INVALID_LOGO_AS_WEB
Inverspot, None, INVALID_LOGO_AS_WEB
Valueset, None, INVALID_LOGO_AS_WEB
Value, None, INVALID_LOGO_AS_WEB
180Deg Seguros, None, INVALID_LOGO_AS_WEB
Cent, None, INVALID_LOGO_AS_WEB
Velox Pay, None, INVALID_LOGO_AS_WEB
Kueskipay, None, INVALID_LOGO_AS_WEB
Mexico, None, INVALID_LOGO_AS_WEB
Nubloq, None, INVALID_LOGO_AS_WEB
Lana, None, INVALID_LOGO_AS_WEB
Loun, None, INVALID_LOGO_AS_WEB
Loto Punto, None, INVALID_LOGO_AS_WEB
Suned, None, INVALID_LOGO_AS_WEB
Lana Plus, None, INVALID_LOGO_AS_WEB
Fintech Que Otroga Microcreditos En Linea, None, INVALID_LOGO_AS_WEB
Uda, None, INVALID_LOGO_AS_WEB
Valoreo, None, INVALID_LOGO_AS_WEB
Trully, None, INVALID_LOGO_AS_WEB
Stere, None, INVALID_LOGO_AS_WEB
Swapi, None, INVALID_LOGO_AS_WEB
Systar, None, INVALID_LOGO_AS_WEB
Ubank, None, INVALID_LOGO_AS_WEB
Nera, None, INVALID_LOGO_AS_WEB
Noahui Soluciones, None, INVALID_LOGO_AS_WEB
Bienestar Préstamos Y Ahorro, None, INVALID_LOGO_AS_WEB
Sostengo, None, INVALID_LOGO_AS_WEB
Fiinte, None, INVALID_LOGO_AS_WEB
Willay, None, INVALID_LOGO_AS_WEB
Transferwise Wise, None, INVALID_LOGO_AS_WEB
Zoly, None, INVALID_LOGO_AS_WEB
Zunior, None, INVALID_LOGO_AS_WEB
Smartcfo, None, INVALID_LOGO_AS_WEB
Wealth Management, None, INVALID_LOGO_AS_WEB
Crédito Digital, None, INVALID_LOGO_AS_WEB
Didi Card, None, INVALID_LOGO_AS_WEB
Vadi, None, INVALID_LOGO_AS_WEB
Plataforma Tecnológica De Brasil, None, INVALID_LOGO_AS_WEB
Plataform, None, INVALID_LOGO_AS_WEB
Pontte, None, INVALID_LOGO_AS_WEB
Timis, None, INVALID_LOGO_AS_WEB
Tikket, None, INVALID_LOGO_AS_WEB
Pulso Vital, None, INVALID_LOGO_AS_WEB
Gibb, None, INVALID_LOGO_AS_WEB
Todo Pago, None, INVALID_LOGO_AS_WEB
Wonka, None, INVALID_LOGO_AS_WEB
Doplamx, None, INVALID_LOGO_AS_WEB
Xante, None, INVALID_LOGO_AS_WEB
Upayments, None, INVALID_LOGO_AS_WEB
Zimbat, None, INVALID_LOGO_AS_WEB
Refcil, None, INVALID_LOGO_AS_WEB
Totalpass, None, INVALID_LOGO_AS_WEB
Serviseniorcom, None, INVALID_LOGO_AS_WEB
Argentina, None, INVALID_LOGO_AS_WEB
Sofi, None, INVALID_LOGO_AS_WEB
Sacbé Payments, None, INVALID_LOGO_AS_WEB
Hackmetrix, None, INVALID_LOGO_AS_WEB
Valiu, None, INVALID_LOGO_AS_WEB
Smarter, None, INVALID_LOGO_AS_WEB
Wire, None, INVALID_LOGO_AS_WEB
Glu, None, INVALID_LOGO_AS_WEB
Maatai, None, INVALID_LOGO_AS_WEB
Lisa Insurtech, None, INVALID_LOGO_AS_WEB
Paytech, None, INVALID_LOGO_AS_WEB
Credit Fund, None, INVALID_LOGO_AS_WEB
Felix, None, INVALID_LOGO_AS_WEB
Global66, None, INVALID_LOGO_AS_WEB
Bucks, None, INVALID_LOGO_AS_WEB
Topaz, None, INVALID_LOGO_AS_WEB
Heru, None, INVALID_LOGO_AS_WEB
Bonnus, None, INVALID_LOGO_AS_WEB
Monetae, None, INVALID_LOGO_AS_WEB
Adiante Recebiveis Adiante Recebiveis, None, INVALID_LOGO_AS_WEB
Cryptomarket, None, INVALID_LOGO_AS_WEB
Fintech, None, INVALID_LOGO_AS_WEB
Seguralia, None, INVALID_LOGO_AS_WEB
Contaayuda, None, INVALID_LOGO_AS_WEB
Tecnología Apifirst Para La, None, INVALID_LOGO_AS_WEB
Joy, None, INVALID_LOGO_AS_WEB
Solvo, None, INVALID_LOGO_AS_WEB
Ipeo, None, INVALID_LOGO_AS_WEB
Fincomn, None, INVALID_LOGO_AS_WEB
Xp, None, INVALID_LOGO_AS_WEB
Zeptos, None, INVALID_LOGO_AS_WEB
Queseguro Co, None, INVALID_LOGO_AS_WEB
Tilt, None, INVALID_LOGO_AS_WEB
Capitalizarmecom, None, INVALID_LOGO_AS_WEB
Moneyman, None, INVALID_LOGO_AS_WEB
Colombia, None, INVALID_LOGO_AS_WEB
Travelex Confidence, None, INVALID_LOGO_AS_WEB
Handy, None, INVALID_LOGO_AS_WEB
Ebanking, None, INVALID_LOGO_AS_WEB
Kanastra, None, INVALID_LOGO_AS_WEB
We Are Dev, None, INVALID_LOGO_AS_WEB
Unit, None, INVALID_LOGO_AS_WEB
Bill Bank, None, INVALID_LOGO_AS_WEB
Zyte, None, INVALID_LOGO_AS_WEB
Antecipa, None, INVALID_LOGO_AS_WEB
Hurra Credit, None, INVALID_LOGO_AS_WEB
Siigo, None, INVALID_LOGO_AS_WEB
Kamino, None, INVALID_LOGO_AS_WEB
Ikiwi, None, INVALID_LOGO_AS_WEB
Tuatu Inversiones, None, INVALID_LOGO_AS_WEB
Waitlist, None, INVALID_LOGO_AS_WEB
